,name,naverURL
0,가산낚시터 (구 우금저수지),"https://map.naver.com/p/search/%EA%B0%80%EC%82%B0%EB%82%9A%EC%8B%9C%ED%84%B0%20%28%EA%B5%AC%20%EC%9A%B0%EA%B8%88%EC%A0%80%EC%88%98%EC%A7%80%29/?c=15.00,0,0,0,dh"
1,가평 레이크리조트,"https://map.naver.com/p/search/%EA%B0%80%ED%8F%89%20%EB%A0%88%EC%9D%B4%ED%81%AC%EB%A6%AC%EC%A1%B0%ED%8A%B8/place/959313066?c=15.00,0,0,0,dh&placePath=/review&isCorrectAnswer=true"
2,가평빠지 클럽비발디 수상레저,"https://map.naver.com/p/search/%EA%B0%80%ED%8F%89%EB%B9%A0%EC%A7%80%20%ED%81%B4%EB%9F%BD%EB%B9%84%EB%B0%9C%EB%94%94%20%EC%88%98%EC%83%81%EB%A0%88%EC%A0%80/place/37942040?c=15.00,0,0,0,dh&placePath=/review&isCorrectAnswer=true"
3,각평낚시터,"https://map.naver.com/p/search/%EA%B0%81%ED%8F%89%EB%82%9A%EC%8B%9C%ED%84%B0/?c=15.00,0,0,0,dh"
4,갈도,"https://map.naver.com/p/search/%EA%B0%88%EB%8F%84/?c=15.00,0,0,0,dh"
5,갈매기배낚시,"https://map.naver.com/p/search/%EA%B0%88%EB%A7%A4%EA%B8%B0%EB%B0%B0%EB%82%9A%EC%8B%9C/?c=15.00,0,0,0,dh"
6,감악산낚시터 레저타운,"https://map.naver.com/p/search/%EA%B0%90%EC%95%85%EC%82%B0%EB%82%9A%EC%8B%9C%ED%84%B0%20%EB%A0%88%EC%A0%80%ED%83%80%EC%9A%B4/place/1000856371?c=15.00,0,0,0,dh&placePath=/review&isCorrectAnswer=true"
7,감포방파제,"https://map.naver.com/p/search/%EA%B0%90%ED%8F%AC%EB%B0%A9%ED%8C%8C%EC%A0%9C/?c=15.00,0,0,0,dh"
8,강나루래프팅,"https://map.naver.com/p/search/%EA%B0%95%EB%82%98%EB%A3%A8%EB%9E%98%ED%94%84%ED%8C%85/place/11890512?c=15.00,0,0,0,dh&placePath=/review&isCorrectAnswer=true"
9,강사랑래프팅,"https://map.naver.com/p/search/%EA%B0%95%EC%82%AC%EB%9E%91%EB%9E%98%ED%94%84%ED%8C%85/place/20278013?c=15.00,0,0,0,dh&placePath=/review&isCorrectAnswer=true"
10,강천섬수상레저,"https://map.naver.com/p/search/%EA%B0%95%EC%B2%9C%EC%84%AC%EC%88%98%EC%83%81%EB%A0%88%EC%A0%80/place/1178411526?c=15.00,0,0,0,dh&placePath=/review&isCorrectAnswer=true"
11,강화도 황청낚시터,"https://map.naver.com/p/search/%EA%B0%95%ED%99%94%EB%8F%84%20%ED%99%A9%EC%B2%AD%EB%82%9A%EC%8B%9C%ED%84%B0/place/12134298?c=15.00,0,0,0,dh&placePath=/review&isCorrectAnswer=true"
12,갬주리코지(볼락코지),"https://map.naver.com/p/search/%EA%B0%AC%EC%A3%BC%EB%A6%AC%EC%BD%94%EC%A7%80%28%EB%B3%BC%EB%9D%BD%EC%BD%94%EC%A7%80%29/?c=15.00,0,0,0,dh"
13,거금해양낚시공원,"https://map.naver.com/p/search/%EA%B1%B0%EA%B8%88%ED%95%B4%EC%96%91%EB%82%9A%EC%8B%9C%EA%B3%B5%EC%9B%90/?c=15.00,0,0,0,dh"
