,Unnamed: 0_x,name,혼자,액티비티,자연,힐링,Unnamed: 0_y,addr1,cat1,cat2,cat3,힐링_int,혼자_int,자연_int,액티비티_int,province,city,1,2,3,4,5,6,7,8,9,10,11,12
0,0,(주)데일리랜드,0.5704219669103623,0.692292594909668,0.6871075212955475,0.6363016247749329,0,강원특별자치도 춘천시 동산면 윗성골길 36,A03,A0302,A03021700,1,0,1,0,강원특별자치도,춘천시,0.0267377967948182,0.0395580978619981,0.0550653382296284,0.1258874694462969,0.1328623645448276,0.0789540419346373,0.0576467629524461,0.0715349818569509,0.1221201575300445,0.1128574577358099,0.0469318551436102,0.0309891984876549
1,1,F1 오토캠핑장,0.6736634075641632,0.6957303583621979,0.7511283755302429,0.8209873139858246,1,전라남도 영암군 삼호읍 삼포리 1894,A03,A0302,A03021700,0,0,0,1,전라남도,영암군,0.0267377967948182,0.0395580978619981,0.0550653382296284,0.1258874694462969,0.1328623645448276,0.0789540419346373,0.0576467629524461,0.0715349818569509,0.1221201575300445,0.1128574577358099,0.0469318551436102,0.0309891984876549
2,2,GS25 뉴한강세빛섬점,0.4564065545797348,0.538222461938858,0.5587219655513763,0.6354509651660919,2,서울특별시 서초구 반포동 650,A03,A0302,A03022600,0,0,1,0,서울특별시,서초구,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,3,NFC(축구 국가대표팀 트레이닝 센터),0.6221574246883392,0.6570370495319366,0.7405711114406586,0.8368366658687592,3,경기도 파주시 탄현면 필승로 368,A03,A0302,A03020300,0,0,0,0,경기도,파주시,0.0626993029167021,0.0686223603958674,0.0816462159029921,0.0776054569627829,0.0992219674592586,0.0980211670540025,0.0713002048921102,0.0768471651080933,0.0796019425622553,0.075974606800974,0.076703812399836,0.0564044446477815
4,4,SRC재활체육관 광주,0.6331119567155838,0.6781095743179322,0.7211116969585418,0.7197089910507202,4,경기도 광주시 초월읍 경수길 25,A03,A0302,A03020200,1,0,0,1,경기도,광주시,0.0848007206596929,0.0965609438699385,0.0927892005634796,0.050798503487363,0.0970906827938865,0.0603232194742502,0.0546903231092631,0.1032356677323212,0.0920722816536131,0.0792702435063125,0.0552433697922443,0.0485453407517203
5,5,W홀스랜드,0.6098738759756088,0.6689014136791229,0.7108302116394043,0.7194765210151672,5,경기도 가평군 상면 물골길 391,A03,A0302,A03021100,0,0,0,0,경기도,가평군,0.0540075615258295,0.0571011439568715,0.0771687301197457,0.0961903331084041,0.0952907344047646,0.0837825438162814,0.0738163190716313,0.0801837996220376,0.0843599003601637,0.1038931539193741,0.0643265995213426,0.0491054462445971
6,6,YELLOW HILL,0.5657144129276276,0.7232618570327759,0.6680453538894653,0.6273573160171508,6,강원특별자치도 춘천시 동산면 종자리로 224-24,A03,A0302,A03021700,0,0,0,1,강원특별자치도,춘천시,0.0267377967948182,0.0395580978619981,0.0550653382296284,0.1258874694462969,0.1328623645448276,0.0789540419346373,0.0576467629524461,0.0715349818569509,0.1221201575300445,0.1128574577358099,0.0469318551436102,0.0309891984876549
7,7,[강릉 바우길 3구간] 어명을 받은 소나무길,0.5689886808395386,0.6873348951339722,0.6512309312820435,0.5643147826194763,7,강원특별자치도 강릉시 성산면 보광리,A03,A0302,A03022700,0,0,0,0,강원특별자치도,강릉시,0.0592193887834325,0.0610126733179334,0.072129042632145,0.0877785855157853,0.0948025931093281,0.0873108291111887,0.0744783375109279,0.0772745695206923,0.0806497214115064,0.097409737451357,0.0758774077306712,0.0529622436088348
8,8,[강릉 바우길 8구간] 산우에 바닷길,0.2827215492725372,0.3422369956970215,0.3133817315101623,0.3960307240486145,8,강원특별자치도 강릉시 강동면 안인진리,A03,A0302,A03022700,0,0,0,0,강원특별자치도,강릉시,0.0592193887834325,0.0610126733179334,0.072129042632145,0.0877785855157853,0.0948025931093281,0.0873108291111887,0.0744783375109279,0.0772745695206923,0.0806497214115064,0.097409737451357,0.0758774077306712,0.0529622436088348
9,9,[구리 둘레길 1코스] 역사와 자연이 살아있는 구리 둘레길,0.3908745050430298,0.4012480974197387,0.3274261355400085,0.4617562294006347,9,경기도 구리시 장자호수공원,A03,A0302,A03022700,0,0,0,0,경기도,구리시,0.0592193887834325,0.0610126733179334,0.072129042632145,0.0877785855157853,0.0948025931093281,0.0873108291111887,0.0744783375109279,0.0772745695206923,0.0806497214115064,0.097409737451357,0.0758774077306712,0.0529622436088348
